cityid,N03_004
id011002,札幌市
id012025,函館市
id012033,小樽市
id012041,旭川市
id012050,室蘭市
id012068,釧路市
id012076,帯広市
id012084,北見市
id012092,夕張市
id012106,岩見沢市
id012114,網走市
id012122,留萌市
id012131,苫小牧市
id012149,稚内市
id012157,美唄市
id012165,芦別市
id012173,江別市
id012181,赤平市
id012190,紋別市
id012203,士別市
id012211,名寄市
id012220,三笠市
id012238,根室市
id012246,千歳市
id012254,滝川市
id012262,砂川市
id012271,歌志内市
id012289,深川市
id012297,富良野市
id012301,登別市
id012319,恵庭市
id012335,伊達市
id012343,北広島市
id012351,石狩市
id012360,北斗市
id013030,当別町
id013048,新篠津村
id013315,松前町
id013323,福島町
id013331,知内町
id013340,木古内町
id013374,七飯町
id013439,鹿部町
id013455,森町
id013463,八雲町
id013471,長万部町
id013617,江差町
id013625,上ノ国町
id013633,厚沢部町
id013641,乙部町
id013676,奥尻町
id013706,今金町
id013714,せたな町
id013919,島牧村
id013927,寿都町
id013935,黒松内町
id013943,蘭越町
id013951,ニセコ町
id013960,真狩村
id013978,留寿都村
id013986,喜茂別町
id013994,京極町
id014001,倶知安町
id014010,共和町
id014028,岩内町
id014036,泊村
id014044,神恵内村
id014052,積丹町
id014061,古平町
id014079,仁木町
id014087,余市町
id014095,赤井川村
id014231,南幌町
id014249,奈井江町
id014257,上砂川町
id014273,由仁町
id014281,長沼町
id014290,栗山町
id014303,月形町
id014311,浦臼町
id014320,新十津川町
id014338,妹背牛町
id014346,秩父別町
id014362,雨竜町
id014371,北竜町
id014389,沼田町
id014524,鷹栖町
id014532,東神楽町
id014541,当麻町
id014559,比布町
id014567,愛別町
id014575,上川町
id014583,東川町
id014591,美瑛町
id014605,上富良野町
id014613,中富良野町
id014621,南富良野町
id014630,占冠村
id014648,和寒町
id014656,剣淵町
id014681,下川町
id014699,美深町
id014702,音威子府村
id014711,中川町
id014729,幌加内町
id014818,増毛町
id014826,小平町
id014834,苫前町
id014842,羽幌町
id014851,初山別村
id014869,遠別町
id014877,天塩町
id015113,猿払村
id015121,浜頓別町
id015130,中頓別町
id015148,枝幸町
id015164,豊富町
id015172,礼文町
id015181,利尻町
id015199,利尻富士町
id015202,幌延町
id015431,美幌町
id015440,津別町
id015458,斜里町
id015466,清里町
id015474,小清水町
id015491,訓子府町
id015504,置戸町
id015521,佐呂間町
id015555,遠軽町
id015598,湧別町
id015601,滝上町
id015610,興部町
id015628,西興部村
id015636,雄武町
id015644,大空町
id015717,豊浦町
id015750,壮瞥町
id015784,白老町
id015814,厚真町
id015849,洞爺湖町
id015857,安平町
id015865,むかわ町
id016012,日高町
id016021,平取町
id016047,新冠町
id016071,浦河町
id016080,様似町
id016098,えりも町
id016101,新ひだか町
id016314,音更町
id016322,士幌町
id016331,上士幌町
id016349,鹿追町
id016357,新得町
id016365,清水町
id016373,芽室町
id016381,中札内村
id016390,更別村
id016411,大樹町
id016420,広尾町
id016438,幕別町
id016446,池田町
id016454,豊頃町
id016462,本別町
id016471,足寄町
id016489,陸別町
id016497,浦幌町
id016616,釧路町
id016624,厚岸町
id016632,浜中町
id016641,標茶町
id016659,弟子屈町
id016675,鶴居村
id016683,白糠町
id016918,別海町
id016926,中標津町
id016934,標津町
id016942,羅臼町