札幌市,id011002,
函館市,id012025,
小樽市,id012033,
旭川市,id012041,
室蘭市,id012050,
釧路市,id012068,
帯広市,id012076,
北見市,id012084,
夕張市,id012092,
岩見沢市,id012106,
網走市,id012114,
留萌市,id012122,
苫小牧市,id012131,
稚内市,id012149,
美唄市,id012157,
芦別市,id012165,
江別市,id012173,
赤平市,id012181,
紋別市,id012190,
士別市,id012203,
名寄市,id012211,
三笠市,id012220,
根室市,id012238,
千歳市,id012246,
滝川市,id012254,
砂川市,id012262,
歌志内市,id012271,
深川市,id012289,
富良野市,id012297,
登別市,id012301,
恵庭市,id012319,
伊達市,id012335,
北広島市,id012343,
石狩市,id012351,
北斗市,id012360,
当別町,id013030,
新篠津村,id013048,
松前町,id013315,
福島町,id013323,
知内町,id013331,
木古内町,id013340,
七飯町,id013374,
鹿部町,id013439,
森町,id013455,
八雲町,id013463,
長万部町,id013471,
江差町,id013617,
上ノ国町,id013625,
厚沢部町,id013633,
乙部町,id013641,
奥尻町,id013676,
今金町,id013706,
せたな町,id013714,
島牧村,id013919,
寿都町,id013927,
黒松内町,id013935,
蘭越町,id013943,
ニセコ町,id013951,
真狩村,id013960,
留寿都村,id013978,
喜茂別町,id013986,
京極町,id013994,
倶知安町,id014001,
共和町,id014010,
岩内町,id014028,
泊村,id014036,
神恵内村,id014044,
積丹町,id014052,
古平町,id014061,
仁木町,id014079,
余市町,id014087,
赤井川村,id014095,
南幌町,id014231,
奈井江町,id014249,
上砂川町,id014257,
由仁町,id014273,
長沼町,id014281,
栗山町,id014290,
月形町,id014303,
浦臼町,id014311,
新十津川町,id014320,
妹背牛町,id014338,
秩父別町,id014346,
雨竜町,id014362,
北竜町,id014371,
沼田町,id014389,
鷹栖町,id014524,
東神楽町,id014532,
当麻町,id014541,
比布町,id014559,
愛別町,id014567,
上川町,id014575,
東川町,id014583,
美瑛町,id014591,
上富良野町,id014605,
中富良野町,id014613,
南富良野町,id014621,
占冠村,id014630,
和寒町,id014648,
剣淵町,id014656,
下川町,id014681,
美深町,id014699,
音威子府村,id014702,
中川町,id014711,
幌加内町,id014729,
増毛町,id014818,
小平町,id014826,
苫前町,id014834,
羽幌町,id014842,
初山別村,id014851,
遠別町,id014869,
天塩町,id014877,
猿払村,id015113,
浜頓別町,id015121,
中頓別町,id015130,
枝幸町,id015148,
豊富町,id015164,
礼文町,id015172,
利尻町,id015181,
利尻富士町,id015199,
幌延町,id015202,
美幌町,id015431,
津別町,id015440,
斜里町,id015458,
清里町,id015466,
小清水町,id015474,
訓子府町,id015491,
置戸町,id015504,
佐呂間町,id015521,
遠軽町,id015555,
湧別町,id015598,
滝上町,id015601,
興部町,id015610,
西興部村,id015628,
雄武町,id015636,
大空町,id015644,
豊浦町,id015717,
壮瞥町,id015750,
白老町,id015784,
厚真町,id015814,
洞爺湖町,id015849,
安平町,id015857,
むかわ町,id015865,
日高町,id016012,
平取町,id016021,
新冠町,id016047,
浦河町,id016071,
様似町,id016080,
えりも町,id016098,
新ひだか町,id016101,
音更町,id016314,
士幌町,id016322,
上士幌町,id016331,
鹿追町,id016349,
新得町,id016357,
清水町,id016365,
芽室町,id016373,
中札内村,id016381,
更別村,id016390,
大樹町,id016411,
広尾町,id016420,
幕別町,id016438,
池田町,id016446,
豊頃町,id016454,
本別町,id016462,
足寄町,id016471,
陸別町,id016489,
浦幌町,id016497,
釧路町,id016616,
厚岸町,id016624,
浜中町,id016632,
標茶町,id016641,
弟子屈町,id016659,
鶴居村,id016675,
白糠町,id016683,
別海町,id016918,
中標津町,id016926,
標津町,id016934,
羅臼町,id016942,